skill_name,open_jobs
SALESFORCE,36
CI/CD,4
AWS,4
AGILE,4
TABLEAU,3
PYTHON,3
LOOKER,3
EXCEL,3
SQL,2
LINUX,2
KUBERNETES,2
SPARK,1
SCRUM,1
SAP,1
MYSQL,1
JAVASCRIPT,1
JAVA,1
ELASTICSEARCH,1
DOCKER,1
AIRFLOW,1
